DT,RF,ERF
0.00039243539394085596,0.0032953296046055822,0.002060777401963924
0.052730696943635594,0.0274349403329522,0.03827704556881171
0.004251807951507721,0.01934887420297339,0.018492661835919324
0.0013444144733834728,0.06036975283833456,0.044457948783838276
0.5543907764304359,0.12328654588176895,0.014841393030966477
0.003136450505216851,0.04959046918962543,0.004214604757769919
0.0,3.151802049892614e-05,6.560195196088077e-05
0.00022271276998458945,0.006895390812394112,0.013654492225898054
0.0,1.0341068129816311e-05,1.8037806431574645e-05
0.0010927102872799737,0.0050719015609072635,0.0045909075316366765
0.0,0.00022833236727391883,0.0003864679500821765
0.0005176891839293518,0.03296915470158009,0.050755295129340364
0.0001301890969516627,0.004154513295384182,0.003690899236740215
0.0,7.214575677228294e-05,0.00019875580825414412
0.0,2.8464502446890737e-06,2.7993150906503166e-05
0.00019636477413637377,0.0001932452377607921,0.00027942230953886316
8.054265311630435e-05,8.326519302065387e-05,9.48975332235627e-05
2.66080285487708e-05,2.0656450226217575e-05,3.057542897244159e-05
0.0,3.039208974246102e-05,5.846904969801095e-05
0.0,0.0,0.0
0.0,3.703635322849336e-08,0.0
4.158452198939631e-05,0.0006099505199234915,0.0014101229481261514
0.16033245433857835,0.05110115915528629,0.021952946401921594
3.94788576932207e-05,0.025610804454086006,0.015400616590319093
0.0021859818796461762,0.040601112155950664,0.06380478909953083
0.0012897829190607563,0.027096313983727777,0.09292302649705209
2.6696236338871697e-05,0.009299096121640696,0.00872440434726012
6.29124150003513e-05,0.006051955820567144,0.01783408842212228
2.6336863926617653e-05,0.10872655031990468,0.11565465270196479
0.008808326239717309,0.07640757647750394,0.02965017715793594
0.00011557195387446553,0.006810549410077692,0.01383751785877534
0.0007245465145647365,0.016452383168570305,0.02366722742520767
0.022224664982713707,0.02136016314634022,0.025094726104287115
0.005614189547020519,0.037650801241388,0.05336830881643999
0.07348102990364519,0.04470206805248628,0.03507053923944328
0.011439084418224095,0.03456180536375926,0.0441475123254564
0.0020204206279668033,0.02050927271837549,0.01897383401028672
0.0022707775520303466,0.027840994061472474,0.07960544367185388
0.0047764872534425545,0.04246164600919977,0.06761752680922703
0.0013174116815261698,0.01539658540671293,0.022884250572768012
0.0003522060180862792,0.005403868282417239,0.016922834718115627
0.0843366567828866,0.0482556920400609,0.035259207789952875
