accuracy,precision,recall,f1-score,number of data
,,,,
,,,,
,,,,
,,,,
,,,,
1.0,0.5,0.5,0.5,6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1.0,1.0,1.0,1.0,15
,,,,
,,,,
,,,,
,,,,
,,,,
1.0,1.0,1.0,1.0,24.0
0.7104377104377104,0.6126126126126126,0.8419117647058824,0.5899370665296686,297.0
0.7114093959731543,0.6160714285714286,0.8419117647058824,0.5945193342193532,298.0
0.7133333333333334,0.6228070175438596,0.8419117647058824,0.6032966357094532,300.0
0.7161716171617162,0.6324786324786325,0.8419117647058824,0.6155729965773634,303
0.7207792207792207,0.6475409836065573,0.8419117647058824,0.6339616383837268,308.0
0.7234726688102894,0.656,0.8419117647058824,0.6439184151666844,311.0
0.7243589743589743,0.6587301587301587,0.8419117647058824,0.6470773925395907,312.0
0.726984126984127,0.6666666666666666,0.8419117647058824,0.6561135371179039,315.0
0.7295597484276729,0.6742424242424243,0.8419117647058824,0.6645405034100387,318.0
0.7320872274143302,0.6814814814814815,0.8419117647058824,0.6724178849439909,321.0
0.7370030581039755,0.6950354609929078,0.8419117647058824,0.6867257820158631,327
0.7409638554216867,0.6971830985915493,0.8442028985507246,0.6905536047166948,332
0.7425149700598802,0.6971830985915493,0.8453237410071943,0.6913389211261551,334
