,accuracy,Precision,Recall,F1,tn,fp,fn,tp
kmeans,0.5123103448275862,0.6766916882306103,0.5070057733744332,0.3536909578929122,1471.0,84587.0,271.0,87671.0
kmeans++,0.4876896551724138,0.3233083117693897,0.49299422662556686,0.3304772403044181,84587.0,1471.0,87671.0,271.0
fuzzy c-means,0.9812241379310345,0.981235310698684,0.981290208033315,0.981223753817386,84973.0,1085.0,2182.0,85760.0
our proposed,0.9927816091954023,0.9928611630790243,0.9927347090820967,0.992779967213619,85060.0,998.0,258.0,87684.0
