,accuracy,Precision,Recall,F1,tn,fp,fn,tp
kmeans,0.01907471264367816,0.019067779496686307,0.019012038261107086,0.019039465684492846,1138.0,84920.0,85761.0,2181.0
kmeans++,0.4876896551724138,0.3233083117693897,0.49299422662556686,0.3304772403044181,84587.0,1471.0,87671.0,271.0
fuzzy c-means,0.018775862068965518,0.018764689301315956,0.018709791966684992,0.018736858868562363,1085.0,84973.0,85760.0,2182.0
our proposed,0.9812586206896552,0.9812702874893806,0.9813250682438708,0.9812582431054044,84979.0,1079.0,2182.0,85760.0
